n_step,reward,epsilon
6427,-114.66799999999476,1.2
3853,-29.19500000000366,1.199400299850075
4520,-52.7270000000011,1.1988011988011988
7707,-163.60999999999223,1.1982026959560659
3484,-16.837000000003798,1.1976047904191616
10095,-235.8190000000004,1.1970074812967582
7265,-149.23499999999206,1.1964107676969093
3642,-21.514000000003662,1.1958146487294468
9700,-228.1960000000006,1.1952191235059761
11327,-280.8970000000047,1.1946241911398705
10862,-263.18500000000154,1.1940298507462688
12003,-310.1120000000083,1.1934361014420685
25268,-748.768999999881,1.1928429423459244
16309,-446.8280000000068,1.1922503725782414
23228,-677.8469999999156,1.1916583912611718
4978,-69.36799999999847,1.1910669975186103
1757,39.84600000000016,1.1904761904761905
26962,-795.7369999998647,1.189885969261279
1231,58.60400000000011,1.1892963330029733
4245,-43.43300000000221,1.1887072808320949
12518,-323.5300000000085,1.188118811881188
6948,-131.711999999993,1.1875309252845125
12333,-312.7470000000076,1.1869436201780417
3635,-22.48300000000353,1.1863568956994561
5453,-81.05899999999824,1.1857707509881423
38013,-1175.2959999998513,1.1851851851851851
10440,-247.89300000000085,1.1846001974333664
36878,-1141.7699999998342,1.1840157868771581
31178,-952.4969999998158,1.183431952662722
11717,-294.79900000000555,1.1828486939379004
10579,-259.7690000000023,1.1822660098522169
4303,-42.46700000000246,1.1816838995568684
6887,-127.07299999999384,1.1811023622047243
14831,-397.7660000000195,1.1805213969503197
2433,15.878999999998854,1.1799410029498525
18403,-521.8289999999746,1.1793611793611793
4667,-57.36600000000105,1.1787819253438114
4957,-66.68200000000019,1.1782032400589102
3518,-20.72500000000342,1.1776251226692838
19812,-564.8249999999564,1.1770475723393818
5995,-103.19399999999594,1.1764705882352942
7147,-142.81599999999216,1.1758941695247427
15991,-439.5470000000075,1.1753183153770814
5501,-87.08099999999719,1.174743024963289
4374,-48.62700000000167,1.1741682974559686
12673,-329.0370000000102,1.17359413202934
7236,-149.11699999999107,1.1730205278592376
19589,-561.3069999999597,1.172447484123107
5862,-101.09199999999686,1.171875
6031,-102.30999999999608,1.171303074670571
11934,-302.6610000000085,1.1707317073170733
6771,-127.6799999999935,1.1701608971233544
13474,-351.55500000001257,1.1695906432748537
4855,-63.413000000000636,1.169020944958597
3325,-12.940000000003337,1.168451801363194
6299,-111.97999999999506,1.167883211678832
1684,43.31300000000014,1.1673151750972761
2882,3.839999999998284,1.166747690811862
3717,-24.10100000000351,1.1661807580174928
11966,-301.6660000000072,1.165614375910636
14102,-373.32200000001296,1.1650485436893203
3331,-13.25200000000251,1.1644832605531295
5778,-99.97399999999567,1.1639185257032008
8471,-181.8329999999947,1.16335433834222
23862,-701.656999999911,1.1627906976744184
17844,-502.6719999999791,1.162227602905569
4315,-46.23000000000175,1.1616650532429817
1799,39.07500000000019,1.1611030478955007
6221,-109.02899999999516,1.1605415860735009
2095,29.09099999999988,1.1599806669888835
17096,-472.1929999999935,1.1594202898550725
3446,-15.64400000000289,1.1588604538870109
8330,-185.2449999999945,1.1583011583011582
2195,25.240999999999545,1.1577424023154848
4928,-68.38000000000012,1.1571841851494697
4458,-51.97000000000118,1.1566265060240963
12910,-334.5130000000109,1.1560693641618496
2946,-0.5550000000017405,1.1555127587867116
4782,-60.77900000000059,1.1549566891241578
5734,-92.80999999999742,1.1544011544011543
3916,-30.494000000003496,1.1538461538461537
7498,-156.42999999999134,1.1532916866890917
28901,-876.0379999998388,1.1527377521613833
21140,-616.3859999999365,1.1521843494959192
6546,-119.51499999999479,1.1516314779270633
