n_step,reward,epsilon
24208,-685.5249999999155,0.9
23234,-659.7019999999281,0.8986500000000001
6611,-110.01299999999551,0.8973020250000001
11631,-277.93300000000386,0.8959560719625002
27197,-763.6249999998843,0.8946121378545565
33383,-976.6249999998104,0.8932702196477746
1499,51.85700000000011,0.891930314318303
1815,40.22000000000033,0.8905924188468256
6796,-115.32299999999489,0.8892565302185554
1165,59.85300000000002,0.8879226454232277
13198,-322.55400000000907,0.8865907614550929
3925,-25.434000000004175,0.8852608753129103
4418,-42.85200000000199,0.883932983999941
5972,-87.24099999999888,0.8826070845239411
3415,-8.797000000003166,0.8812831738971553
12224,-281.0640000000034,0.8799612491363096
24265,-661.3559999999196,0.8786413072626051
5389,-67.84299999999968,0.8773233453017113
36568,-1058.6199999998214,0.8760073602837587
17583,-448.21300000000457,0.8746933492433332
4469,-38.66700000000307,0.8733813092194682
8397,-162.18199999998998,0.8720712372556391
7853,-148.89899999999096,0.8707631303997556
7985,-157.3159999999904,0.8694569857041561
24446,-662.7869999999192,0.8681528002255999
30894,-872.2269999998441,0.8668505710252615
17388,-440.49500000000484,0.8655502951687237
18808,-485.6149999999891,0.8642519697259706
19301,-499.6779999999864,0.8629555917713817
6296,-95.78799999999688,0.8616611583837247
3272,0.9129999999973393,0.8603686666461492
17795,-453.5550000000005,0.85907811364618
34516,-976.1479999998203,0.8577894964757108
6514,-100.04499999999666,0.8565028122309973
1350,55.16800000000008,0.8552180580126508
3487,-7.978000000003334,0.853935230925632
21180,-551.0509999999599,0.8526543280792435
5834,-76.57199999999798,0.8513753465871247
21495,-568.8849999999586,0.850098283567244
2185,32.01100000000034,0.8488231361418932
937,68.53399999999993,0.8475499014376804
18161,-452.74900000000355,0.846278576585524
3249,-1.7780000000022227,0.8450091587206457
19659,-498.1859999999841,0.8437416449825648
15383,-376.8230000000152,0.842476032515091
17184,-426.73200000001253,0.8412123184663184
2365,29.92199999999997,0.8399504999886189
7678,-136.2369999999921,0.8386905742386361
5664,-75.19499999999849,0.8374325383772782
1451,51.58300000000001,0.8361763895697123
1444,53.3380000000001,0.8349221249853578
33354,-911.2269999998191,0.8336697417978798
48378,-1369.3869999998053,0.8324192371851831
6985,-113.1529999999954,0.8311706083294053
910,70.08200000000001,0.8299238524169112
815,72.56199999999998,0.8286789666382859
3925,-19.64900000000378,0.8274359481883286
4085,-28.184000000004175,0.826194794266046
10275,-209.98199999999576,0.8249555020746471
27243,-726.6579999998982,0.8237180688215351
11483,-240.46199999999817,0.8224824917183029
1196,62.71300000000005,0.8212487679807254
5443,-58.924000000000916,0.8200168948287544
3019,8.13899999999802,0.8187868694865114
6058,-79.23199999999844,0.8175586891822816
2022,39.71700000000029,0.8163323511485082
8348,-151.0579999999905,0.8151078526217855
16343,-388.87300000001244,0.8138851908428528
9852,-192.25199999999228,0.8126643630565886
12200,-256.85599999999874,0.8114453665120037
39716,-1081.1569999998087,0.8102281984622358
37778,-1012.403999999819,0.8090128561645425
2663,19.571999999999065,0.8077993368802958
5548,-63.5000000000005,0.8065876378749753
9894,-195.3779999999943,0.8053777564181629
7242,-109.25299999999375,0.8041696897835356
3498,-3.899000000002431,0.8029634352488605
4392,-35.27300000000359,0.8017589900959872
28850,-748.3469999998852,0.8005563516108433
33600,-885.2939999998273,0.799355517083427
4883,-41.16600000000335,0.7981564838078019
53618,-1465.0069999997752,0.7969592490820903
5245,-50.52700000000273,0.7957638102084672
10125,-194.7259999999928,0.7945701644931545
15783,-369.8660000000151,0.7933783092464148
6127,-86.20699999999766,0.7921882417825452
14851,-327.5950000000055,0.7909999594198716
2848,11.168999999998533,0.7898134594807418
9657,-174.1299999999919,0.7886287392915207
18780,-435.4950000000082,0.7874457961825834
10763,-214.51399999999538,0.7862646274883096
2392,23.153999999999556,0.7850852305470771
9900,-185.63099999999233,0.7839076027012566
1884,39.28100000000031,0.7827317412972048
4983,-44.3070000000029,0.7815576436852589
9816,-192.27899999999465,0.7803853072197311
44034,-1158.5989999997935,0.7792147292589016
32571,-831.0719999998606,0.7780459071650132
533,81.82400000000004,0.7768788383042657
26310,-649.0379999999154,0.7757135200468095
26669,-651.8719999999214,0.7745499497667393
3762,-10.571000000003124,0.7733881248420892
5151,-47.13700000000283,0.772228042654826
4689,-33.89800000000464,0.7710697005908439
918,70.41099999999996,0.7699130960399577
4492,-25.979000000005186,0.7687582263958977
1941,44.51100000000026,0.767605089056304
1554,48.53200000000015,0.7664536814227195
7832,-134.62999999999252,0.7653040009005855
4518,-27.83900000000513,0.7641560448992347
68600,-1858.7399999997447,0.7630098108318859
3869,-10.794000000003692,0.761865296115638
8516,-144.04299999998977,0.7607224981714648
5888,-64.44699999999948,0.7595814144242076
7932,-121.72199999999397,0.7584420423025713
13967,-292.0730000000042,0.7573043792391174
7963,-131.06799999999305,0.7561684226702587
9787,-173.25399999999047,0.7550341700362534
24264,-573.583999999949,0.7539016187811991
4645,-29.44200000000538,0.7527707663530273
4654,-32.6290000000041,0.7516416102034978
5262,-42.11300000000338,0.7505141477881927
73298,-1951.8409999997293,0.7493883765665104
8742,-143.69099999998994,0.7482642940016607
17910,-399.663000000016,0.7471418975606582
955,70.934,0.7460211847143173
13456,-269.66400000000215,0.7449021529372459
2811,20.869999999999607,0.7437847997078401
1238,63.432000000000066,0.7426691225082783
10815,-198.8049999999962,0.7415551188245159
6926,-94.33499999999687,0.7404427861462791
5848,-61.442000000001755,0.7393321219670599
26650,-641.0559999999227,0.7382231237841093
4656,-34.78200000000409,0.7371157890984331
13411,-266.94099999999895,0.7360101154147856
19608,-446.5390000000024,0.7349061002416634
2940,18.669999999999092,0.733803741091301
20593,-453.4440000000008,0.7327030354796641
9249,-151.38799999998776,0.7316039809264446
10298,-178.65699999998876,0.7305065749550549
20194,-449.67199999999866,0.7294108150926224
3109,17.31699999999873,0.7283166988699835
3756,-2.5650000000024136,0.7272242238216786
2801,17.748999999998873,0.7261333874859461
1438,57.786000000000065,0.7250441874047172
4772,-32.17200000000473,0.7239566211236101
32808,-781.0459999998651,0.7228706861919247
8174,-115.07499999999479,0.721786380162637
7352,-98.25099999999544,0.7207037005923931
3996,-6.762000000003326,0.7196226450415045
7098,-94.55899999999677,0.7185432110739423
2997,17.892999999998935,0.7174653962573314
962,71.54699999999994,0.7163891981629454
2490,31.578000000000173,0.7153146143657011
5760,-55.553000000000964,0.7142416424441526
1232,62.16100000000002,0.7131702799804863
3258,4.268999999998044,0.7121005245605156
1670,54.93200000000014,0.711032373773675
6603,-85.1089999999979,0.7099658252130144
934,73.218,0.708900876475195
454,85.31800000000003,0.7078375251604823
2619,27.05699999999962,0.7067757688727415
2898,9.788999999997884,0.7057156052194324
3100,15.391999999998887,0.7046570318116033
2188,27.95999999999954,0.703600046263886
17080,-383.8960000000161,0.7025446461944902
1372,54.36500000000024,0.7014908292251985
40289,-984.1069999998057,0.7004385929813607
24046,-519.6409999999728,0.6993879350918887
1926,47.35500000000049,0.6983388531892509
2647,29.249000000000052,0.6972913449094671
90490,-2245.3400000000506,0.6962454078921029
2949,22.76899999999921,0.6952010397802648
9641,-151.50099999999009,0.6941582382205945
8770,-134.30599999999177,0.6931170008632636
1335,59.41200000000002,0.6920773253619688
1707,48.84900000000016,0.6910392093739258
4266,-12.119000000003268,0.690002650559865
1704,51.886000000000095,0.6889676465840252
3078,17.324999999998525,0.6879341951141492
7009,-94.61699999999729,0.686902293821478
5505,-57.05900000000264,0.6858719403807458
3270,10.350999999998407,0.6848431324701748
1934,50.007000000000204,0.6838158677714695
1712,53.15600000000034,0.6827901439698124
3100,18.67399999999924,0.6817659587538577
9262,-150.91199999998884,0.680743309815727
2642,27.635000000000147,0.6797221948510034
9580,-162.59899999999064,0.6787026115587269
3276,15.606999999998607,0.6776845576413889
5821,-56.24400000000128,0.6766680308049269
13289,-242.97599999999224,0.6756530287587195
2753,20.428999999998965,0.6746395492155814
6664,-70.93499999999868,0.6736275898917581
67286,-1625.0839999996672,0.6726171485069204
9849,-152.38099999998948,0.6716082227841601
16752,-327.8180000000035,0.6706008104499839
11368,-188.79199999999253,0.669594909234309
2184,45.08500000000052,0.6685905168704576
5078,-36.274000000004094,0.667587631095152
1980,43.95300000000041,0.6665862496485092
51444,-1206.4579999997536,0.6655863702740366
22980,-478.1549999999894,0.6645879907186255
70302,-1654.6479999996873,0.6635911087325476
10310,-163.32899999998918,0.6625957220694488
1898,50.50100000000037,0.6616018284863447
23066,-474.4769999999846,0.6606094257436153
4719,-19.88200000000505,0.6596185116049998
1967,52.0730000000003,0.6586290838375923
9429,-140.03299999999018,0.657641140211836
3786,-2.749000000002937,0.6566546785015183
2266,37.93800000000075,0.655669696483766
5512,-44.13200000000296,0.6546861919390404
10307,-164.28199999998975,0.6537041626511318
9242,-146.90399999998877,0.6527236064071552
194301,-4720.12100000278,0.6517445209975445
1031,73.72299999999998,0.6507669042160482
5523,-45.78100000000326,0.6497907538597242
13178,-224.10799999999526,0.6488160677289346
30742,-652.8399999999089,0.6478428436273412
45091,-1012.3319999997752,0.6468710793619004
79515,-1852.6679999996093,0.6459007727428575
93364,-2175.9019999999346,0.6449319215837432
8125,-97.9379999999945,0.6439645237013677
9045,-121.52599999999123,0.6429985769158156
3001,26.609999999999502,0.642034079050442
1520,58.79200000000008,0.6410710279318663
6236,-59.619000000002444,0.6401094213899686
3510,6.8279999999978855,0.6391492572578836
32020,-697.4079999998905,0.6381905333719968
13786,-232.1899999999975,0.6372332475719389
17534,-324.2290000000037,0.636277397700581
20609,-411.83200000001295,0.6353229816040301
1121,67.19199999999992,0.6343699971316242
20169,-401.1380000000159,0.6334184421359268
88907,-2036.9339999997082,0.6324683144727229
6242,-50.072000000003015,0.6315196120010139
16274,-293.23600000000357,0.6305723325830124
766,79.80499999999999,0.6296264740841379
4494,-13.442000000004654,0.6286820343730116
3060,19.517999999998594,0.6277390113214523
956,75.21200000000002,0.62679740280447
2306,40.934000000000474,0.6258572067002635
2744,11.039999999998017,0.624918420890213
1333,65.06199999999993,0.6239810432588778
1519,62.17600000000001,0.6230450716939895
2398,39.002000000000756,0.6221105040864485
3745,-1.4640000000027555,0.6211773383303189
3601,2.681999999997018,0.6202455723228234
2461,36.15200000000057,0.6193152039643393
2744,30.330999999999946,0.6183862311583928
2535,33.525000000000404,0.6174586518116552
6591,-75.33199999999802,0.6165324638339378
1082,72.3039999999999,0.615607665138187
3949,-14.45800000000446,0.6146842536404796
5168,-39.27000000000359,0.6137622272600189
2839,28.380999999999872,0.6128415839191289
3025,19.860999999999066,0.6119223215432503
1133,65.63799999999998,0.6110044380609354
6415,-72.53200000000002,0.6100879314038441
59126,-1320.489999999727,0.6091727995067383
64317,-1411.546999999674,0.6082590403074782
132400,-2991.7990000011796,0.6073466517470171
3636,9.820999999997795,0.6064356317693965
10588,-153.35199999998943,0.6055259783217425
4887,-21.839000000005413,0.60461768935426
17127,-303.4400000000023,0.6037107628202286
2279,45.346000000000515,0.6028051966759983
9018,-110.76699999999497,0.6019009888809843
4709,-16.69400000000539,0.6009981373976628
2749,27.279999999999873,0.6000966401915665
9248,-117.28199999999407,0.599196495231279
5961,-43.44000000000479,0.5982977004884322
3628,8.639999999998153,0.5974002539376996
34127,-685.2989999998907,0.5965041535567931
6591,-51.65400000000248,0.5956093973264579
52063,-1109.1239999997354,0.5947159832304683
49852,-1066.1699999997572,0.5938239092556226
6883,-69.66000000000038,0.5929331733917392
88110,-1947.0529999995479,0.5920437736316516
25741,-481.06499999998675,0.5911557079712042
816,75.25299999999993,0.5902689744092474
2868,29.63899999999994,0.5893835709476335
1753,56.09500000000021,0.5884994955912122
11927,-186.63499999999556,0.5876167463478253
813,77.36899999999994,0.5867353212283036
2459,36.98200000000063,0.5858552182464613
3390,3.5859999999975543,0.5849764354190916
2528,38.255000000000614,0.584098970765963
8057,-99.87999999999651,0.583222822309814
1142,72.45399999999997,0.5823479880763494
3903,3.091999999997455,0.5814744660942349
1359,67.26799999999992,0.5806022543950936
3599,12.38799999999793,0.5797313510135009
6485,-82.46700000000021,0.5788617539869807
815,80.20600000000003,0.5779934613560003
4987,-25.210000000006104,0.5771264711639663
1572,61.63300000000005,0.5762607814572204
1695,60.88300000000003,0.5753963902850345
2637,37.87300000000073,0.5745332956996071
879,78.20499999999996,0.5736714957560577
75916,-1670.910999999583,0.5728109885124236
107426,-2311.8110000000806,0.5719517720296551
3229,29.48800000000017,0.5710938443716106
25971,-480.35499999998325,0.5702372036050531
1620,62.469999999999935,0.5693818477996456
7428,-66.6040000000006,0.5685277750279463
940,75.02299999999994,0.5676749833654043
10299,-134.4819999999907,0.5668234708903562
20001,-344.18699999999956,0.5659732356840208
5367,-16.215000000006086,0.5651242758304947
6226,-46.71000000000389,0.5642765894167491
1226,69.14599999999987,0.563430174532624
4894,-10.488000000003979,0.562585029270825
3422,20.432999999998785,0.5617411517269189
756,80.78900000000002,0.5608985399993285
2135,50.761000000000394,0.5600571921893296
3726,4.733999999997806,0.5592171064010456
5981,-37.712000000005204,0.558378280741444
1686,62.92900000000001,0.557540713320332
1584,60.792000000000044,0.5567044022503514
1226,65.52599999999981,0.5558693456469759
5177,-28.468000000006526,0.5550355416285055
5049,-27.874000000005722,0.5542029883160629
1125,64.07400000000001,0.5533716838335887
1271,59.00000000000005,0.5525416263078383
1341,65.72499999999981,0.5517128138683766
2209,41.92200000000015,0.550885244647574
546,83.08800000000005,0.5500589167806028
3978,6.875999999997049,0.5492338284054319
5040,-49.5980000000019,0.5484099776628237
754,80.18700000000005,0.5475873626963295
4040,-1.0380000000031089,0.5467659816522851
3068,13.855999999998076,0.5459458326798067
1905,47.264000000000415,0.545126913930787
1934,52.63600000000025,0.5443092235598909
1320,67.07099999999983,0.543492759724551
1665,55.35700000000027,0.5426775205849643
1714,56.97700000000012,0.5418635043040868
3436,2.066999999996682,0.5410507090476306
1407,65.33399999999997,0.5402391329840593
712,78.24800000000002,0.5394287742845832
8447,-134.1989999999895,0.5386196311231564
1208,65.56999999999991,0.5378117016764716
2914,20.12599999999911,0.537004984123957
2594,30.59600000000009,0.5361994766477711
4742,-26.90000000000566,0.5353951774327994
2754,30.089999999999733,0.5345920846666503
854,81.29599999999996,0.5337901965396503
738,83.09600000000003,0.5329895112448408
1260,70.69099999999992,0.5321900269779738
2546,23.528999999999442,0.5313917419375068
2828,6.059999999997331,0.5305946543246005
2349,39.743000000000556,0.5297987623431136
1552,62.76699999999988,0.529004064199599
1942,55.68500000000029,0.5282105581032996
866,80.30799999999996,0.5274182422661448
4604,-45.127000000003065,0.5266271149027455
968,76.03999999999994,0.5258371742303914
5176,-39.683000000004824,0.5250484184690459
1321,65.18399999999991,0.5242608458413424
4052,8.006999999997063,0.5234744545725803
999,74.65200000000002,0.5226892428907215
456,83.31300000000005,0.5219052090263855
1741,50.69100000000036,0.5211223512128459
15940,-304.63899999999853,0.5203406676860267
7755,-93.85899999999957,0.5195601566844976
2544,42.959000000000735,0.518780816449471
10624,-141.56499999999204,0.5180026452247968
