n_step,reward,epsilon
4353,-46.14000000000222,1.0
8041,-174.95499999999242,0.999
10149,-245.66499999999908,0.998001
8223,-175.37299999999198,0.997002999
18182,-509.5329999999812,0.996005996001
1948,32.475999999999885,0.995009990004999
6146,-105.48099999999596,0.994014980014994
23253,-671.8329999999113,0.993020965034979
4439,-48.72900000000192,0.992027944069944
8162,-173.81999999999283,0.991035916125874
4857,-63.79600000000096,0.9900448802097482
4614,-57.62200000000078,0.9890548353295384
9483,-219.44399999999717,0.9880657804942089
2953,2.5119999999981104,0.9870777147137147
19729,-564.4629999999595,0.986090636999001
34476,-1049.867999999822,0.985104546362002
22722,-654.6249999999208,0.9841194418156399
3291,-12.235000000002842,0.9831353223738244
14601,-388.2310000000123,0.9821521870514505
22498,-657.2819999999185,0.981170034864399
3269,-7.4720000000025095,0.9801888648295347
28307,-854.1809999998393,0.9792086759647052
15538,-415.8550000000188,0.9782294672887404
7187,-140.546999999991,0.9772512378214517
1354,52.447,0.9762739865836302
8018,-176.50799999999248,0.9752977125970466
9910,-236.908,0.9743224148844496
4540,-49.321000000001916,0.9733480924695651
4156,-38.84600000000279,0.9723747443770956
15816,-423.73800000001336,0.9714023696327184
7508,-148.58899999999122,0.9704309672630858
2855,4.139999999998025,0.9694605362958226
9664,-222.8939999999978,0.9684910757595268
15366,-409.8430000000176,0.9675225846837673
9902,-226.57499999999774,0.9665550620990835
9668,-225.83399999999665,0.9655885070369844
12872,-326.40200000000925,0.9646229185299474
9463,-214.9849999999981,0.9636582956114175
7581,-156.2919999999917,0.9626946373158061
9631,-220.462999999999,0.9617319426784903
6608,-123.92099999999476,0.9607702107358118
3607,-23.738000000003183,0.959809440525076
20610,-582.6829999999493,0.9588496310845509
1215,59.14900000000005,0.9578907814534663
34701,-1057.3279999998265,0.9569328906720129
11924,-300.32100000000787,0.9559759577813408
5651,-85.86999999999806,0.9550199818235595
4067,-40.56700000000242,0.954064961841736
5678,-94.1369999999983,0.9531108968798943
4700,-55.09900000000134,0.9521577859830144
4722,-58.960000000000576,0.9512056281970314
9119,-207.55299999999602,0.9502544225688343
20681,-596.8339999999404,0.9493041681462654
4171,-41.775000000002336,0.9483548639781192
14596,-385.4100000000156,0.947406509114141
5654,-91.14299999999778,0.9464591026050269
6797,-136.77099999999297,0.9455126435024219
6002,-100.08099999999662,0.9445671308589194
26527,-781.2709999998642,0.9436225637280605
7465,-146.0589999999919,0.9426789411643325
5573,-89.44499999999819,0.9417362622231682
3860,-33.31200000000345,0.9407945259609449
24698,-732.2479999998948,0.9398537314349841
15021,-384.60600000001386,0.9389138777035491
5359,-72.17399999999944,0.9379749638258454
15903,-432.0460000000125,0.9370369888620197
8876,-199.7779999999946,0.9360999518731576
8438,-186.2709999999938,0.9351638519212845
1324,58.621000000000066,0.9342286880693632
7749,-158.4369999999908,0.9332944593812939
21007,-608.8899999999408,0.9323611649219126
1971,34.16399999999993,0.9314288037569907
3192,-12.322000000002703,0.9304973749532336
8546,-197.76099999999656,0.9295668775782804
3328,-11.14400000000336,0.9286373107007021
12882,-326.51700000001085,0.9277086733900014
2176,26.66799999999958,0.9267809647166114
15192,-414.9140000000194,0.9258541837518948
2519,15.303999999999078,0.9249283295681429
4428,-48.48500000000203,0.9240034012385747
10911,-284.7760000000038,0.9230793978373362
23924,-698.3959999999106,0.9221563184394989
5980,-106.40999999999559,0.9212341621210594
2223,25.417999999999452,0.9203129279589383
13536,-359.24200000001457,0.9193926150309794
19576,-544.9979999999623,0.9184732224159483
6042,-101.02399999999633,0.9175547491935324
2730,5.1639999999987225,0.9166371944443389
1618,44.489000000000104,0.9157205572498945
6249,-121.75499999999344,0.9148048366926447
10603,-255.54200000000307,0.913890031855952
5583,-93.03799999999734,0.912976141824096
20776,-592.3869999999449,0.912063165682272
23764,-655.5029999999126,0.9111511025165897
4287,-38.77700000000294,0.9102399514140731
7226,-144.11599999999083,0.9093297114626591
11119,-261.18400000000076,0.9084203817511963
3958,-29.951000000004072,0.9075119613694451
1810,41.00700000000029,0.9066044494080757
