n_step,reward,epsilon
3379,-14.220000000002997,1.2
3570,-21.520000000003435,1.1987999999999999
2806,6.495999999998119,1.1976012
6128,-103.74399999999646,1.1964035988
21376,-620.9159999999374,1.1952071952012
5176,-76.5159999999988,1.1940119880059987
5298,-77.02199999999928,1.1928179760179927
13239,-347.82000000001347,1.1916251580419748
9022,-200.8849999999958,1.1904335328839328
3444,-17.31900000000354,1.1892430993510488
10751,-260.12400000000173,1.1880538562516978
19626,-565.9239999999586,1.1868658023954461
5862,-99.65399999999687,1.1856789365930507
10984,-269.3440000000056,1.1844932576564577
3671,-22.19900000000392,1.1833087643988012
7012,-136.43499999999264,1.1821254556344023
29165,-889.3439999998327,1.180943330178768
13416,-352.8560000000127,1.1797623868485891
6349,-113.01399999999502,1.1785826244617406
19319,-548.2379999999671,1.1774040418372789
26649,-802.0519999998623,1.1762266377954416
21706,-621.245999999933,1.175050411157646
2313,20.81899999999942,1.1738753607464885
4039,-38.54100000000287,1.172701485385742
13718,-364.5520000000131,1.171528783900356
3711,-21.7990000000041,1.1703572551164558
18861,-540.5459999999689,1.1691868978613396
31543,-974.7809999998301,1.1680177109634782
11931,-303.8310000000058,1.1668496932525148
11388,-281.0280000000048,1.165682843559262
18028,-507.4659999999815,1.1645171607157028
6501,-117.84199999999436,1.163352643554987
10229,-242.38699999999926,1.162189290911432
6813,-129.83499999999322,1.1610271016205207
2039,30.785999999999888,1.1598660745189002
11088,-275.06200000000456,1.1587062084443813
20749,-599.8239999999493,1.157547502235937
9848,-231.5569999999991,1.1563899547337009
20715,-595.2409999999434,1.1552335647789673
23045,-670.7569999999188,1.1540783312141882
8786,-199.14799999999627,1.1529242528829742
7929,-162.33099999999177,1.1517713286300912
22812,-672.6629999999162,1.150619557301461
35185,-1090.6579999998457,1.1494689377441596
10882,-265.0810000000033,1.1483194688064156
19486,-555.1669999999649,1.1471711493376089
14618,-391.43900000001565,1.1460239781882713
30776,-935.4269999998127,1.144877954210083
8067,-170.7209999999926,1.143733076255873
3374,-14.059000000002897,1.1425893431796172
16708,-461.5599999999961,1.1414467538364377
6906,-136.81099999999242,1.140305307082601
1404,53.10600000000007,1.1391650017755184
13542,-353.84500000001196,1.138025836773743
10932,-265.9560000000049,1.1368878109369691
12824,-334.1320000000079,1.135750923126032
7895,-165.27299999999244,1.1346151722029063
3866,-27.931000000004374,1.1334805570307032
9654,-223.3199999999995,1.1323470764736725
17443,-488.87299999998584,1.131214729397199
18992,-531.2159999999647,1.1300835146678019
3185,-9.408000000002716,1.128953431153134
9741,-229.45599999999826,1.1278244777219808
4416,-49.856000000001984,1.1266966532442588
22332,-647.9929999999252,1.1255699565910144
31062,-949.6989999998184,1.1244443866344236
8543,-189.10099999999474,1.123319942247789
5972,-100.65599999999698,1.1221966223055413
12797,-330.0470000000077,1.121074425683236
20545,-585.1119999999513,1.1199533512575526
11863,-293.362000000008,1.118833397906295
8484,-184.48199999999545,1.1177145645083888
22222,-655.3569999999255,1.1165968499438803
26784,-802.9309999998693,1.1154802530939365
5795,-92.44999999999692,1.1143647728408426
10362,-246.49400000000063,1.1132504080680017
3166,-3.982000000002074,1.1121371576599337
2374,20.024999999999096,1.1110250205022736
15072,-407.27400000001876,1.1099139954817714
16852,-460.6299999999979,1.1088040814862896
3808,-28.00200000000396,1.1076952774048034
15291,-413.4180000000159,1.1065875821273985
9629,-228.75400000000033,1.1054809945452713
2000,30.302999999999713,1.1043755135507258
3203,-7.793000000002436,1.1032711380371751
2974,1.7949999999979127,1.102167866899138
32837,-1002.960999999818,1.101065699032239
3524,-25.444000000003157,1.0999646333332067
5984,-100.34399999999623,1.0988646686998733
3765,-30.98200000000365,1.0977658040311735
8750,-193.61199999999437,1.0966680382271423
1309,55.463000000000164,1.0955713701889152
11339,-288.14600000000473,1.0944757988187264
2548,15.434999999998965,1.0933813230199076
13645,-362.39400000001194,1.0922879416968876
2399,19.36299999999909,1.0911956537551908
17787,-499.82799999998366,1.0901044581014356
18375,-519.7619999999728,1.089014353643334
3821,-26.40200000000432,1.0879253392896908
6935,-132.27499999999395,1.0868374139504011
10633,-260.8590000000032,1.0857505765364506
3357,-15.0060000000028,1.0846648259599143
3033,-0.4040000000020001,1.0835801611339544
1986,34.956000000000245,1.0824965809728204
13262,-350.42500000001405,1.0814140843918476
7504,-152.27099999999038,1.0803326703074556
3035,-1.3710000000023967,1.0792523376371483
3118,-7.13500000000235,1.078173085299511
5006,-66.68800000000002,1.0770949122142117
3210,-6.636000000002525,1.0760178173019974
4815,-60.12000000000103,1.0749417994846955
16541,-461.94099999999855,1.0738668576852108
5707,-90.24499999999779,1.0727929908275253
8513,-188.042999999996,1.071720197836698
12275,-312.2010000000073,1.0706484776388612
4553,-55.08600000000112,1.0695778291612223
14813,-397.65500000001634,1.0685082513320612
2534,13.68299999999877,1.0674397430807292
9450,-224.13999999999942,1.0663723033376484
15621,-425.36200000001395,1.0653059310343107
20154,-581.5639999999509,1.0642406251032765
4691,-56.82700000000135,1.0631763844781732
2213,25.63799999999962,1.062113208093695
15932,-431.38500000001255,1.0610510948856013
5666,-91.17999999999716,1.0599900437907157
18310,-517.0979999999796,1.0589300537469248
9086,-205.82999999999606,1.0578711236931782
21494,-619.0519999999328,1.0568132525694849
1137,61.22200000000006,1.0557564393169154
10609,-260.80600000000265,1.0547006828775984
4103,-38.671000000002564,1.0536459821947208
5473,-83.32099999999815,1.052592336212526
2533,17.420999999999154,1.0515397438763137
5217,-77.78799999999899,1.0504882041324373
2302,21.651999999999177,1.0494377159283048
14734,-399.45300000001896,1.0483882782123766
